CV,type,group
2.3409565910696983,One-reg-One-ST,0
2.589515596628189,One-reg-One-ST,0
3.2571427524089813,One-reg-One-ST,0
5.089188367128372,One-reg-One-ST,0
2.943107858300209,One-reg-One-ST,0
3.7003174424171448,One-reg-One-ST,0
2.877631224691868,One-reg-One-ST,0
4.16455939412117,One-reg-One-ST,0
3.1722750514745712,One-reg-One-ST,0
22.229453921318054,One-reg-One-ST,0
4.3244849890470505,One-reg-One-ST,0
3.791949152946472,One-reg-One-ST,0
4.522243142127991,One-reg-One-ST,0
3.8809884339571,One-reg-One-ST,0
4.070614278316498,One-reg-One-ST,0
4.16959710419178,One-reg-One-ST,0
5.949136987328529,One-reg-One-ST,0
4.820216074585915,One-reg-One-ST,0
4.949379712343216,One-reg-One-ST,0
4.833587259054184,One-reg-One-ST,0
5.020854249596596,One-reg-One-ST,0
5.170966312289238,One-reg-One-ST,0
4.856781288981438,One-reg-One-ST,0
4.99962605535984,One-reg-One-ST,0
4.447970911860466,One-reg-One-ST,0
5.35246841609478,One-reg-One-ST,0
5.833841487765312,One-reg-One-ST,0
5.328685790300369,One-reg-One-ST,0
6.012973189353943,One-reg-One-ST,0
16.009506583213806,One-reg-One-ST,0
10.233534127473831,One-reg-One-ST,0
5.455227568745613,One-reg-One-ST,0
5.044599995017052,One-reg-One-ST,0
5.253034830093384,One-reg-One-ST,0
8.710908144712448,One-reg-One-ST,0
6.041501462459564,One-reg-One-ST,0
6.915459781885147,One-reg-One-ST,0
5.051038414239883,One-reg-One-ST,0
5.166551843285561,One-reg-One-ST,0
37.45061755180359,One-reg-One-ST,0
6.3266754150390625,One-reg-One-ST,0
6.600720435380936,One-reg-One-ST,0
5.896782502532005,One-reg-One-ST,0
19.48678493499756,One-reg-One-ST,0
6.537145376205444,One-reg-One-ST,0
7.6861657202243805,One-reg-One-ST,0
7.507245987653732,One-reg-One-ST,0
6.727270036935806,One-reg-One-ST,0
7.76996836066246,One-reg-One-ST,0
5.988069996237755,One-reg-One-ST,0
5.973996222019196,One-reg-One-ST,0
6.28686398267746,One-reg-One-ST,0
