ID,seq_id,type,angle-shun,center_col,center_row,col_x_1,row_y_1,angle_shun1,angle_shun2,col_x_2,row_y_2
T9-9-4-HE,219,ST,70,642.8,427.7,-309.8,-94.7,70,1.0,8.0,-2.0
Slide8-7,221,Slide,-88,215.5,308.1,117.5,24.9,-88,1.0,0.0,4.0
Slide8-8,223,Slide,-110,274.7,309.6,58.3,23.4,-110,1.0,-8.0,10.0
T9-9-5-HE,225,ST,-95,390.5,561.0,-57.5,-228.0,-95,1.0,-8.0,8.0
Slide8-9,227,Slide,-92,296.6,315.1,36.4,17.9,-92,-1.0,-4.0,-4.0
Slide8-10,229,Slide,-120,284.2,309.1,48.8,23.9,-120,1.0,-10.0,10.0
Slide9-2,234,Slide,75,348.0,324.0,-15.0,9.0,75,-5.0,8.0,10.0
T9-9-8-HE,235,ST,-110,428.0,457.0,-95.0,-124.0,-110,-1.0,8.0,0.0
Slide9-3,237,Slide,90,311.1,380.5,21.9,-47.5,90,5.0,-10.0,-10.0
Slide9-4,239,Slide,-118,281.5,370.0,51.5,-37.0,-118,-3.0,-6.0,8.0
T9-9-9-HE,241,ST,-105,356.2,470.8,-23.2,-137.8,-105,-1.0,4.0,4.0
Slide9-5,243,Slide,75,350.5,383.0,-17.5,-50.0,75,-1.0,6.0,-2.0
Slide9-6,245,Slide,-90,267.0,389.5,66.0,-56.5,-90,-1.0,8.0,-4.0
T9-10-1-HE,247,ST,-113,360.6,474.4,-27.6,-141.4,-113,5.0,-10.0,-8.0
Slide9-7,248,Slide,65,339.5,322.1,-6.5,10.9,65,-1.0,-6.0,2.0
T9-10-2-HE,249,ST,-105,372.9,556.1,-39.9,-223.1,-105,-1.0,4.0,2.0
Slide9-8,251,Slide,-110,275.2,375.1,57.8,-42.1,-110,-1.0,8.0,4.0
Slide9-9,253,Slide,-120,272.5,366.5,60.5,-33.5,-120,-1.0,8.0,6.0
T9-10-3-HE,255,ST,-110,387.0,520.5,-54.0,-187.5,-110,1.0,4.0,4.0
Slide9-10,257,Slide,-110,282.2,374.2,50.8,-41.2,-110,1.0,-8.0,4.0
Slide10-1,259,Slide,-115,274.0,302.8,59.0,30.2,-115,-1.0,4.0,2.0
T9-10-4-HE,261,ST,-95,386.1,560.5,-53.1,-227.5,-95,-1.0,6.0,-2.0
Slide10-2,263,Slide,70,352.0,312.7,-19.0,20.3,70,1.0,8.0,-4.0
Slide10-3,264,Slide,67,355.4,369.5,-22.4,-36.5,67,1.0,-2.0,10.0
T9-10-5-HE,266,ST,70,527.5,564.5,-194.5,-231.5,70,-1.0,2.0,-2.0
Slide10-4,267,Slide,-110,278.6,374.5,54.4,-41.5,-110,-1.0,8.0,-4.0
Slide10-5,269,Slide,100,277.7,322.5,55.3,10.5,100,1.0,0.0,-10.0
T9-10-6-HE,271,ST,-95,362.4,614.5,-29.4,-281.5,-95,1.0,-6.0,6.0
Slide10-6,272,Slide,-110,277.0,387.4,56.0,-54.4,-110,1.0,-6.0,10.0
Slide10-7,274,Slide,-110,275.9,375.6,57.1,-42.6,-110,-1.0,2.0,8.0
T9-10-7-HE,276,ST,-108,384.2,503.4,-51.2,-170.4,-108,1.0,-2.0,10.0
Slide10-8,277,Slide,70,338.6,379.0,-5.6,-46.0,70,-1.0,2.0,0.0
Slide10-9,279,Slide,-115,293.8,323.2,39.2,9.8,-115,3.0,-10.0,4.0
T9-10-8-HE,281,ST,-105,368.5,531.1,-35.5,-198.1,-105,-1.0,-6.0,10.0
Slide10-10,282,Slide,80,319.9,361.9,13.1,-28.9,80,-1.0,-10.0,-8.0
Slide11-1,285,Slide,85,337.5,385.5,-4.5,-52.5,85,-1.0,0.0,10.0
T9-10-9-HE,286,ST,-105,398.9,488.3,-65.9,-155.3,-105,-1.0,6.0,-2.0
Slide11-2,287,Slide,-105,259.8,364.6,73.2,-31.6,-105,-1.0,8.0,6.0
Slide11-3,289,Slide,-105,275.6,372.6,57.4,-39.6,-105,1.0,2.0,4.0
T9-13-1-HE,291,ST,-128,421.5,477.5,-88.5,-144.5,-128,-1.0,8.0,-2.0
Slide11-4,292,Slide,-110,279.9,365.7,53.1,-32.7,-110,-1.0,8.0,-10.0
Slide11-5,294,Slide,-103,288.0,375.3,45.0,-42.3,-103,1.0,-2.0,-10.0
T9-13-2-HE,296,ST,80,541.0,478.0,-208.0,-145.0,80,1.0,-8.0,-10.0
Slide11-6,297,Slide,-117,289.7,370.6,43.3,-37.6,-117,1.0,-10.0,4.0
Slide11-7,299,Slide,73,349.0,377.0,-16.0,-44.0,73,-1.0,-4.0,10.0
T9-13-3-HE,301,ST,-104,477.5,469.0,-144.5,-136.0,-104,-1.0,0.0,-10.0
Slide11-8,302,Slide,-114,264.5,370.5,68.5,-37.5,-114,1.0,-8.0,10.0
Slide11-9,304,Slide,75,330.1,368.0,2.9,-35.0,75,1.0,-2.0,-2.0
T9-13-4-HE,306,ST,-115,430.9,471.3,-97.9,-138.3,-115,-1.0,-2.0,0.0
Slide11-10,307,Slide,-105,261.2,374.5,71.8,-41.5,-105,1.0,-8.0,10.0
Slide12-1,309,Slide,65,342.6,371.8,-9.6,-38.8,65,-1.0,-2.0,8.0
