ID,seq_id,type,angle-shun,center_col,center_row,col_x_1,row_y_1,angle_shun1,angle_shun2,col_x_2,row_y_2
Slide16-8,430,Slide,67,256.8,242.2,76.2,90.8,67,1.0,-8.0,0.0
T9-17-3-HE,432,ST,-123,386.2,513.0,-53.2,-180.0,-123,1.0,-10.0,-4.0
Slide16-9,436,Slide,-125,187.5,229.7,145.5,103.3,-125,-5.0,-10.0,-10.0
T9-17-4-HE,438,ST,53,549.3,479.0,-216.3,-146.0,53,1.0,-8.0,-10.0
Slide16-10,440,Slide,155,180.0,179.1,153.0,153.9,155,-1.0,-10.0,-4.0
Slide17-1,442,Slide,-120,176.0,188.9,157.0,144.1,-120,-1.0,-10.0,-10.0
T9-17-5-HE,444,ST,72,438.5,466.4,-105.5,-133.4,72,-1.0,-8.0,-8.0
Slide17-2,446,Slide,-85,173.1,177.1,159.9,155.9,-85,1.0,-10.0,-4.0
Slide17-3,448,Slide,-50,237.2,202.9,95.8,130.1,-50,1.0,0.0,10.0
T9-17-6-HE,451,ST,-100,434.8,580.4,-101.8,-247.4,-100,-1.0,6.0,10.0
Slide17-4,453,Slide,-110,144.5,199.0,188.5,134.0,-110,1.0,0.0,10.0
Slide17-5,455,Slide,54,197.9,172.2,135.1,160.8,54,1.0,-6.0,8.0
T9-17-7-HE,457,ST,-118,519.4,491.9,-186.4,-158.9,-118,-1.0,2.0,4.0
Slide17-6,460,Slide,60,211.2,175.6,121.8,157.4,60,-1.0,4.0,2.0
Slide17-7,462,Slide,-120,157.6,200.9,175.4,132.1,-120,1.0,0.0,8.0
T9-17-8-HE,464,ST,57,493.4,470.8,-160.4,-137.8,57,-1.0,2.0,2.0
Slide17-8,467,Slide,30,195.5,186.3,137.5,146.7,30,-1.0,8.0,-4.0
Slide17-9,469,Slide,80,218.0,176.0,115.0,157.0,80,1.0,4.0,4.0
T9-17-9-HE,471,ST,-120,453.5,549.0,-120.5,-216.0,-120,-1.0,8.0,0.0
Slide17-10,473,Slide,-152,173.2,180.2,159.8,152.8,-152,1.0,4.0,2.0
Slide18-1,475,Slide,-15,202.5,232.5,130.5,100.5,-15,-1.0,4.0,10.0
T9-18-1-HE,477,ST,-20,578.5,518.5,-245.5,-185.5,-20,-1.0,8.0,-8.0
Slide18-2,479,Slide,60,206.5,248.2,126.5,84.8,60,-1.0,4.0,-4.0
Slide18-3,481,Slide,-20,265.5,185.0,67.5,148.0,-20,1.0,6.0,-6.0
T9-18-2-HE,483,ST,-115,495.2,521.7,-162.2,-188.7,-115,1.0,4.0,6.0
Slide18-4,485,Slide,55,251.6,191.1,81.4,141.9,55,-1.0,8.0,8.0
Slide18-5,487,Slide,-115,229.6,248.4,103.4,84.6,-115,1.0,8.0,10.0
T9-18-3-HE,489,ST,87,512.7,451.9,-179.7,-118.9,87,1.0,4.0,10.0
Slide18-6,491,Slide,60,255.5,181.1,77.5,151.9,60,-1.0,8.0,10.0
Slide18-7,493,Slide,-120,235.5,188.5,97.5,144.5,-120,-1.0,8.0,10.0
T9-18-4-HE,495,ST,-110,457.0,544.0,-124.0,-211.0,-110,1.0,8.0,10.0
Slide18-8,498,Slide,-120,244.1,182.7,88.9,150.3,-120,-1.0,8.0,10.0
T9-18-5-HE,501,ST,-128,452.0,525.5,-119.0,-192.5,-128,3.0,6.0,10.0
Slide18-9,503,Slide,-128,245.0,192.5,88.0,140.5,-128,-3.0,8.0,4.0
Slide18-10,505,Slide,65,246.0,187.0,87.0,146.0,65,1.0,4.0,10.0
T9-18-6-HE,507,ST,150,481.9,444.3,-148.9,-111.3,150,-1.0,8.0,10.0
Slide19-1,510,Slide,-20,181.4,254.9,151.6,78.1,-20,-1.0,8.0,8.0
