sample_id	HE1	marker1	HE2	marker2	Spot1	Spot2	Spot3
sample7-5	305,294	311,439	4718,4529	4640,4727	851,764	837,4280	4371,724
sample7-8	482,293	477,466	4377,4409	4298,4662	819,694	808,4211	4336,654
sample8-3	104,287	185,440	4604,4307	4575,4435	683,789	672,4297	4192,788
sample8-4	343,233	463,427	4614,4499	4588,4679	802,768	793,4273	4316,765
sample8-5	440,236	524,433	4701,4569	4729,4765	833,754	823,4265	4350,755
sample8-6	371,361	420,545	4432,4396	4433,4601	841,774	831,4282	4357,774
sample8-7	262,244	386,473	4528,4591	4624,4804	759,790	749,4301	4275,790
sample8-8	298,90	384,292	4903,4522	4934,4758	801,732	791,4242	4320,732
sample8-9	350,185	400,497	4958,4445	4955,4746	795,789	784,4297	4311,783
sample9-1	174,552	320,395	4317,4668	4372,4521	735,569	704,4093	4257,588
sample9-2	316,315	394,170	4504,4337	4503,4213	710,538	679,4063	4234,558
sample9-3	278,495	311,342	4558,4826	4493,4695	644,661	613,4186	4168,680
sample9-8	289,252	376,270	4804,4589	4798,4594	797,644	767,4170	4323,664
sample9-9	295,419	305,403	4649,4568	4600,4586	767,705	736,4230	4290,724
